entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.pool_house,heat_cool,2026-03-12T01:58:03.687Z,73,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:01:03.806Z,73.3,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:04:03.690Z,73.5,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:07:03.683Z,73.1,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:10:03.687Z,73.3,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:13:03.745Z,73.2,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:16:03.762Z,73.1,fan,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:19:03.758Z,73.1,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:25:03.772Z,73.1,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:28:03.760Z,73.1,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:34:03.725Z,73,fan,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:37:03.727Z,73.1,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:40:03.720Z,73,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:43:03.752Z,73.1,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:44:04.854Z,73.1,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:47:05.159Z,73,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:50:05.200Z,73.2,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T02:59:05.159Z,73,fan,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:02:05.139Z,73.2,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:05:05.841Z,73.4,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:08:05.213Z,73.2,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:14:05.153Z,73.1,cooling,73,66.9,
